Track URI	Track Name	Artist URI(s)	Artist Name(s)	Album URI	Album Name	Album Artist URI(s)	Album Artist Name(s)	Album Release Date	Album Image URL	Disc Number	Track Number	Track Duration (ms)	Track Preview URL	Explicit	Popularity	Added By	Added At	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Time Signature
spotify:episode:35YCJuheZCJD5HsnkaS3P7	[Study Sleep Relax 💖] Meditation - music	spotify:show:64ijNYNNSIzrNFEcXwB6YL	Relaxing music	spotify:show:64ijNYNNSIzrNFEcXwB6YL	Relaxing music	spotify:show:64ijNYNNSIzrNFEcXwB6YL	Relaxing music		https://i.scdn.co/image/ab6765630000ba8aeed95194007c1ea152762392	0	0	4435776	https://p.scdn.co/mp3-preview/6db50784c761d6830f55a9712b5685b80ef8edf9	false	0	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:31:51Z												
spotify:episode:07HQ80zuAB7D0KgDNPlMFz	Relaxing Sleep Music • Deep Sleeping Music, Relaxing Music, Stress Relief, Meditation Music (Flying)	spotify:show:1WTKOss6rssszbgoVh0QN0	Comforting Sounds	spotify:show:1WTKOss6rssszbgoVh0QN0	Comforting Sounds	spotify:show:1WTKOss6rssszbgoVh0QN0	Comforting Sounds		https://i.scdn.co/image/ab6765630000ba8ab1883f829870ef95a7726ae1	0	0	10821799	https://p.scdn.co/mp3-preview/04e32c0447bd1df6b9f2b99a26cdc57ce08f68ef	false	0	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:31:52Z												
spotify:episode:5oImH2k4VqVKoUCFDYPKKi	Study Music, Concentration, Focus, Meditation, Memory, Work Music, Relaxing Music, Study,	spotify:show:4O9ewm6rHndbj2AiagZiUG	MEDITATION SELF	spotify:show:4O9ewm6rHndbj2AiagZiUG	MEDITATION SELF	spotify:show:4O9ewm6rHndbj2AiagZiUG	MEDITATION SELF		https://i.scdn.co/image/4514ca814660f983cdb29e0220c57486e3124bdf	0	0	3670560	https://p.scdn.co/mp3-preview/f019d6c041369c714e7f3997f91aa7844db32700	false	0	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:31:54Z												
spotify:episode:3oVSxuDiphnEI9WrvFVdqo	Healing Sounds: Cleans the Aura and Space. Removes all negative energy	spotify:show:4O9ewm6rHndbj2AiagZiUG	MEDITATION SELF	spotify:show:4O9ewm6rHndbj2AiagZiUG	MEDITATION SELF	spotify:show:4O9ewm6rHndbj2AiagZiUG	MEDITATION SELF		https://i.scdn.co/image/4514ca814660f983cdb29e0220c57486e3124bdf	0	0	4117080	https://p.scdn.co/mp3-preview/c5ccdd8a4aee6a2802932849b16b06203595b8b6	false	0	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:31:55Z												
spotify:track:74OnNzQEy5KrRCSztE6jqq	OM Chanting at 432Hz	spotify:artist:1PTLyE54UyxphMo43yaSc7	Meditative Mind	spotify:album:0nTi0Ermx6s07adalXER0U	OM Chanting at 432Hz	spotify:artist:1PTLyE54UyxphMo43yaSc7	Meditative Mind	2015-09-03	https://i.scdn.co/image/ab67616d0000b273d88b5b4a2eb1432660c01b2d	1	1	1788833	https://p.scdn.co/mp3-preview/0332e2f358a4fb681cdc28ab2e272e41d8c67830?cid=9950ac751e34487dbbe027c4fd7f8e99	false	47	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:32:11Z	0.0714	0.0361	8	-29.371	1	0.0452	0.933	0.972	0.109	0.0311	77.824	3
spotify:track:0tFd2syJTSojWXu18tr06f	Tantra Flute (Indian Flute Meditation Music)	spotify:artist:1PTLyE54UyxphMo43yaSc7	Meditative Mind	spotify:album:0zophFklNsVtXqd4a4agRC	Tantra Flute (Indian Flute Meditation Music)	spotify:artist:1PTLyE54UyxphMo43yaSc7	Meditative Mind	2017-08-03	https://i.scdn.co/image/ab67616d0000b2735c9d4f0e8e17222cd3a3214c	1	1	3660565	https://p.scdn.co/mp3-preview/7c1fc361512dc696f8b47c9523353c0706b5ab17?cid=9950ac751e34487dbbe027c4fd7f8e99	false	42	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:32:12Z	0.172	0.0176	9	-24.008	1	0.0394	0.993	0.944	0.119	0.221	74.595	4
spotify:track:6dVqJUi6hmkU22V5GaxDRH	Prana Apana	spotify:artist:1PTLyE54UyxphMo43yaSc7	Meditative Mind	spotify:album:7rAch1BcppMGrtAqlRgePp	Prana Apana	spotify:artist:1PTLyE54UyxphMo43yaSc7	Meditative Mind	2018-03-28	https://i.scdn.co/image/ab67616d0000b2732d0896701e58a50e54954a83	1	1	1894244	https://p.scdn.co/mp3-preview/58a3dffa871b4a14350de5f12e3f70362dabf3db?cid=9950ac751e34487dbbe027c4fd7f8e99	false	41	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:32:13Z	0.501	0.131	10	-19.994	0	0.0324	0.838	0.000222	0.11	0.0399	132.051	3
spotify:track:0ttVqRISNySDktBhdJsJZv	Sarvesham Svastir Bhavtu	spotify:artist:1PTLyE54UyxphMo43yaSc7	Meditative Mind	spotify:album:2SyTtRLOHedCwGOBNiQcU4	Magical Mantras for Meditation - Volume Two	spotify:artist:1PTLyE54UyxphMo43yaSc7	Meditative Mind	2015-11-30	https://i.scdn.co/image/ab67616d0000b273dbdb45404729b12972eb172c	1	4	2717900	https://p.scdn.co/mp3-preview/7e3d00c73ca96909c48a929d4970bd74218252e6?cid=9950ac751e34487dbbe027c4fd7f8e99	false	39	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:32:13Z	0.177	0.0314	0	-21.798	1	0.0368	0.892	0.195	0.0892	0.0315	102.618	4
spotify:track:1MlZK79GWoYvadK7liIX7W	Hang Drum + Water Drums - Positive Energy Music for Yoga	spotify:artist:1PTLyE54UyxphMo43yaSc7	Meditative Mind	spotify:album:0lpTU6kUr7MhWZeiMVHCXG	Hang Drum + Water Drums - Positive Energy Music for Yoga	spotify:artist:1PTLyE54UyxphMo43yaSc7	Meditative Mind	2018-12-31	https://i.scdn.co/image/ab67616d0000b273d4a9309e290d8380cea187b3	1	1	4270875	https://p.scdn.co/mp3-preview/4cd0708638b5c35777820260a60287cc88afdd81?cid=9950ac751e34487dbbe027c4fd7f8e99	false	38	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:32:14Z	0.651	0.0509	7	-32.291	0	0.0405	0.97	0.953	0.0954	0.145	149.987	4
spotify:track:0ffHqT347PZdJDNUNelzZl	One Hour Long Relaxation Music	spotify:artist:1PTLyE54UyxphMo43yaSc7	Meditative Mind	spotify:album:78USQinmIPvIXzVbsusUeg	One Hour Long Relaxation Music	spotify:artist:1PTLyE54UyxphMo43yaSc7	Meditative Mind	2013-11-01	https://i.scdn.co/image/ab67616d0000b273dde7e5594f0b03ca92cf84aa	1	1	4478538	https://p.scdn.co/mp3-preview/bbb4518b258326fffd636c8c4d2b7f8374acfe0f?cid=9950ac751e34487dbbe027c4fd7f8e99	false	37	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:32:14Z	0.133	0.000594	0	-39.692	1	0.0576	0.954	0.893	0.112	0.034	65.367	3
